-5.17887 2.82259e-18 -2.82259e-18
-5.10208 1.29975e-16 -1.29975e-16
-5.08402 1.95863e-15 -1.95863e-15
-5.02662 3.11616e-16 -3.11616e-16
-5.00898 1.61803e-15 -1.61803e-15
-4.99045 2.82768e-15 -2.82768e-15
-4.9525 2.13914e-16 -2.13914e-16
-4.9353 4.83486e-16 -4.83486e-16
-4.91717 4.05279e-15 -4.05279e-15
-4.89819 9.86878e-17 -9.86878e-17
-4.87974 5.02985e-17 -5.02985e-17
-4.86299 5.04604e-16 -5.04604e-16
-4.84527 1.04823e-15 -1.04823e-15
-4.82667 2.09993e-16 -2.09993e-16
-4.80835 3.25546e-17 -3.25546e-17
-4.80724 2.12188e-16 -2.12188e-16
-4.79206 8.65777e-17 -8.65777e-17
-4.77477 1.89797e-17 -1.89797e-17
-4.75655 3.24021e-16 -3.24021e-16
-4.73834 6.93888e-17 -6.93888e-17
-4.73748 6.84699e-16 -6.84699e-16
-4.72253 1.06388e-15 -1.06388e-15
-4.71761 1.93257e-16 -1.93257e-16
-4.70567 3.57303e-16 -3.57303e-16
-4.68786 5.28854e-16 -5.28854e-16
-4.66972 1.28028e-16 -1.28028e-16
-4.66915 1.3514e-16 -1.3514e-16
-4.65441 1.0597e-15 -1.0597e-15
-4.64962 5.86036e-16 -5.86036e-16
-4.638 1.30593e-16 -1.30593e-16
-4.6293 3.36884e-16 -3.36884e-16
-4.6206 6.94163e-16 -6.94163e-16
-4.60251 9.6773e-17 -9.6773e-17
-4.60227 9.92742e-16 -9.92742e-16
-4.58773 1.76836e-15 -1.76836e-15
-4.58309 7.6253e-16 -7.6253e-16
-4.57178 1.53658e-15 -1.53658e-15
-4.56309 6.66436e-16 -6.66436e-16
-4.5548 1.16734e-15 -1.16734e-15
-4.54233 6.80138e-17 -6.80138e-17
-4.53686 2.74791e-16 -2.74791e-16
-4.53673 1.72855e-17 -1.72855e-17
-4.5225 2.92991e-16 -2.92991e-16
-4.51803 7.31901e-15 -7.31901e-15
-4.50704 1.02195e-15 -1.02195e-15
-4.49836 1.44054e-15 -1.44054e-15
-4.49048 1.75802e-15 -1.75802e-15
-4.47791 2.95695e-16 -2.95695e-16
-4.47293 3.01839e-16 -3.01839e-16
-4.4724 1.07865e-16 -1.07865e-16
-4.45875 5.00501e-16 -5.00501e-16
-4.4567 2.02941e-16 -2.02941e-16
-4.45447 1.64986e-15 -1.64986e-15
-4.44379 9.32623e-16 -9.32623e-16
-4.43514 4.74554e-15 -4.74554e-15
-4.42767 1.43314e-15 -1.43314e-15
-4.415 8.35301e-16 -8.35301e-16
-4.41053 1.8647e-16 -1.8647e-16
-4.40954 2.85704e-17 -2.85704e-17
-4.39651 2.57817e-16 -2.57817e-16
-4.39409 2.19708e-16 -2.19708e-16
-4.39243 4.97572e-16 -4.97572e-16
-4.38206 8.67172e-16 -8.67172e-16
-4.37345 2.01628e-16 -2.01628e-16
-4.37244 2.47995e-16 -2.47995e-16
-4.36641 1.69865e-15 -1.69865e-15
-4.35363 4.8758e-16 -4.8758e-16
-4.34968 8.38424e-16 -8.38424e-16
-4.34819 6.54928e-17 -6.54928e-17
-4.3358 1.06929e-15 -1.06929e-15
-4.33302 5.66824e-16 -5.66824e-16
-4.33196 1.32408e-15 -1.32408e-15
-4.3219 6.70948e-16 -6.70948e-16
-4.31333 1.46923e-15 -1.46923e-15
