-5.19159 0.962118 1.48354e-17 -0.481059 0.833219 -0.481059 -0.833219
-5.13763 0.951565 3.23371e-17 -0.475782 0.824079 -0.475782 -0.824079
-5.125 0.951863 1.01628e-16 -0.475932 0.824338 -0.475932 -0.824338
-5.08433 0.940957 -1.99578e-16 -0.470479 0.814893 -0.470479 -0.814893
-5.0719 0.941252 1.02249e-16 -0.470626 0.815148 -0.470626 -0.815148
-5.05903 0.941572 -1.36996e-16 -0.470786 0.815425 -0.470786 -0.815425
-5.03168 0.930292 9.93705e-17 -0.465146 0.805656 -0.465146 -0.805656
-5.01946 0.930583 -2.42861e-16 -0.465291 0.805908 -0.465291 -0.805908
-5.00679 0.9309 2.14831e-16 -0.46545 0.806183 -0.46545 -0.806183
-4.99371 0.931242 -7.41328e-16 -0.465621 0.806479 -0.465621 -0.806479
-4.97969 0.919565 -8.32546e-17 -0.459783 0.796367 -0.459783 -0.796367
-4.96768 0.919851 2.70617e-16 -0.459925 0.796614 -0.459925 -0.796614
-4.95522 0.920165 -2.12099e-16 -0.460082 0.796886 -0.460082 -0.796886
-4.94233 0.920505 5.50052e-17 -0.460253 0.797181 -0.460253 -0.797181
-4.92902 0.920871 -1.18123e-16 -0.460435 0.797498 -0.460435 -0.797498
-4.92835 0.908773 -1.98816e-16 -0.454387 0.787021 -0.454387 -0.787021
-4.91657 0.909052 4.18562e-16 -0.454526 0.787262 -0.454526 -0.787262
-4.90432 0.909361 -3.68766e-16 -0.454681 0.78753 -0.454681 -0.78753
-4.89162 0.9097 2.2212e-16 -0.45485 0.787823 -0.45485 -0.787823
-4.8785 0.910066 -1.65195e-16 -0.455033 0.78814 -0.455033 -0.78814
-4.87769 0.897912 7.1393e-17 -0.448956 0.777614 -0.448956 -0.777614
-4.86613 0.898181 2.15106e-16 -0.449091 0.777848 -0.449091 -0.777848
-4.86497 0.910457 -3.89112e-17 -0.455228 0.788479 -0.455228 -0.788479
-4.85409 0.898485 -1.25996e-16 -0.449243 0.778111 -0.449243 -0.778111
-4.84159 0.898821 2.98372e-16 -0.44941 0.778401 -0.44941 -0.778401
-4.82866 0.899185 -1.6749e-16 -0.449593 0.778717 -0.449593 -0.778717
-4.82769 0.886975 1.36945e-16 -0.443488 0.768143 -0.443488 -0.768143
-4.81637 0.887234 -3.76636e-16 -0.443617 0.768368 -0.443617 -0.768368
-4.81531 0.899578 -4.82589e-16 -0.449789 0.779057 -0.449789 -0.779057
-4.80454 0.887531 3.8494e-16 -0.443766 0.768624 -0.443766 -0.768624
-4.80157 0.899997 2.54253e-16 -0.449998 0.77942 -0.449998 -0.77942
-4.79225 0.887862 -3.40829e-17 -0.443931 0.768911 -0.443931 -0.768911
-4.77951 0.888225 -2.52789e-16 -0.444112 0.769225 -0.444112 -0.769225
-4.77836 0.875958 -8.56735e-17 -0.437979 0.758602 -0.437979 -0.758602
